Name,Description,Image,Alt
Queen of Cups,"In a general context, the Queen of Cups Tarot card can generally signify a woman or women in your life who will be supportive and caring towards you. This Minor Arcana card is also a sign that you should be mindful of how you treat yourself and others or to treat people with compassion and sympathy. She can also indicate that you may be more sensitive than you let on to the outside world and that harsh actions or hurtful comments affect you more than you show to the outside world. This card can also indicate a tendency to daydream and a big imagination. As a person, the Queen of Cups represents a mature female or feminine person who is kind, caring and supportive. The Queen of Cups is a sentimental, sensitive soul and a good listener. She is empathetic to the feelings of others. As a mother, partner or friend, the Queen of Cups is affectionate, loving and warm. However, she can also be shy and have a tendency to daydream. She is creative, artistic and intuitive and she appreciates beauty. She may be a water sign such as Cancer, Scorpio or Pisces",queen-of-cups,Queen of Cups
King of Cups,"In a general context, the King of Cups Tarot card represents kindness, compassion and wisdom. This Minor Arcana card can indicate that you will be finding the balance between your mind and your heart. You will learn to control your emotions and find the wisdom to accept that which you cannot change. You should be gaining a deeper level of emotional maturity when this card appears. You will become calmer, more sympathetic to others and tolerant. Like all the cups court cards, the King of Cups signifies emotion, creativity, artistic ability and intuition but in a more balanced form. As a person, the King of Cups is caring, affectionate and empathetic. He is a good listener, diplomatic and easy going. He is the type of older male who will give you sound advice and act as a calming influence in your life. He usually has light hair and has few if any enemies as he is well liked and gets along with the majority of people. He may lack the drive to pursue material wealth as he is more focused on the emotional side of life. He is very family orientated. He may be a water sign such as Cancer, Scorpio or Pisces.",king-of-cups,King of Cups
Ace of Swords,"In a general context, the Ace of Swords represents new ideas, new beginnings, new projects, new plans and breakthroughs. It also indicates intellectual ability, mental clarity, clear thinking and the ability to concentrate. This Minor Arcana signifies communication, vision, force, focus and intensity. It represents making correct decisions, being assertive and justice and authority. The Ace of Swords can indicate good news in relation to legal matters or legal contracts or letters that may be to your benefit.",ace-of-swords,Ace of Swords
Two of Swords,"In a general context, the Two of Swords represents a stalemate, truce or being at a crossroads. It indicates that you are sitting on the fence or struggling to make/ avoiding a difficult, stressful or painful decision. It is the Minor Arcana of coming face to face with your fears. It can also signify being torn between two loyalties, relationships, situations, offers or people. It represents being caught in the middle of an argument or conflict and trying to mediate between opposing parties. The Two of Swords also represents blocking emotions, being in denial, blindness and an inability or unwillingness to see the truth.",two-of-swords,Two of Swords
Three of Swords,"In a general context, the Three of Swords represents unhappiness, heartache, sorrow and sadness. It is a Minor Arcana card of grief, loss, depression and tears and when it appears in your Tarot reading it generally indicates a period of difficulty or hardship, usually on an emotional level. Distraction, conflict, disillusion and serious misunderstanding are all represented by this card so whatever situation it signifies will bring with it confusion, upset and upheaval. The Three of Swords also indicates depression, trauma, disorders, loneliness, absence and betrayal. You have suffered or will suffer a loss or betrayal of some kind when this card appears and not one that can easily be brushed over. You will be feeling this loss on a deep emotional level and you must give yourself time to process what has happened. Though it does represent hardship, this card is not all bad. The most difficult situations in our lives often teach us more about who we are and what we are capable of than the good times. Give yourself space and time to heal and learn all you can from the experience. If you need support, don’t be afraid to reach out to the people that love you.",three-of-swords,Three of Swords
Four of Swords,"In a general context, the Four of Swords represents fear, anxiety and stress. You will be feeling overwhelmed and mentally overloaded when it appears. This Minor Arcana tells you that the issues you are facing are actually not as bad as you believe them to be and there are solutions available. However, it suggest that you are allowing negativity to set in and becoming so overwhelmed that you cannot see the woods for the trees. This card is more to do with your mental state than any problems you are facing. Relax, regroup and contemplate your situation in a calm rational way. If you leave aside your fears and logically plan for the future, you will find a way forward. The Four of Swords Tarot card also indicates that you are in need of peace and quiet, introspection, rest, relaxation and sanctuary. It is a card of recuperation and hospitalization. And it signifies having faith or receiving spiritual counseling or support.",four-of-swords,Four of Swords
Five of Swords,"In a general context, the Five of Swords is not always a good omen as it can represent defeat, change surrender and walking away. It is a Minor Arcana card of self-sabotaging or underhanded behavior and deception and lack of communication. It can also represent serious conflict, stress and lack of communication. The Five of Swords Tarot card comes with a warning as it can signify hostility, aggression, intimidation and violence and as such it can represent situations we would hope to never encounter in our lives such as crime, theft, bullying, abuse, assault, rape, murder. On the other hand, it may simply represent the action one must take to overcome being challenged by others such as standing up for oneself and fighting back. As such it can be an indication of victory. If so, the victory it represents will be hard won as you will have quite a battle on your hands.",five-of-swords,Five of Swords
Six of Swords,"In a general context, the Six of Swords represents progress, moving into calmer waters, moving on or moving forward. It is a Minor Arcana card of overcoming hardship, healing, relief and stability so you can expect problems in your life to settle down and things to be much easier to deal with. The Six of Swords can also represent escaping, running away, journeys, travel, traveling overseas and going on holiday. It can signify feeling lethargic and deflated after coming through a tough time or the calm after the storm. It is also a Tarot card of intuition, inner guidance and spirit guides.",six-of-swords,Six of Swords
Seven of Swords,"In a general context, the Seven of Swords represents deception, lies, trickery, cheating and lack of conscience.  This card also signifies mental manipulation, tactics, scheming, cunning, enemies who masquerade as friends and spies in your camp. It is a Minor Arcana card of dangerous or risky behavior, daring, courage and staying ahead of the game. The Seven of Swords can also represent flexibility, adaptability, sharp wit, resourcefulness, being strategic or being overly rational. This Tarot card can also signify underhanded behavior, theft, burglary, fraud, dodgy deals and a general lack of conscience. It represents escaping detection and getting away with something.",seven-of-swords,Seven of Swords
Eight of Swords,"In a general context, the Eight of Swords can represent feeling trapped, confined, restricted or backed into a corner or having your hands tied. It signifies fear, terror, anxiety and psychological issues. It is a Minor Arcana card of hopelessness, helplessness, powerlessness, slavery, persecution and being silenced or censored.  You will be feeling the pressure when this appears and may be in crisis or going through a dilemma or drama. However, the overall theme of this card is that you are the one keeping yourself in this situation through negative thinking and allowing yourself to be paralyzed by fear. The swords depicted in the card are surrounding you but you can take the blindfold off and walk away at any time! This card also represents consequences and judgment which may take the form of trial by jury, imprisonment and punishment.",eight-of-swords,Eight of Swords
Nine of Swords,"In a general context, the Nine of Swords is another of the fear and anxiety cards in the Suit of Swords. Similar to the other fear cards, this card is not an indication of negative events actually happening, just that your fear and anxiety levels are so high they are making you feel that things are worse than they are. In short, you may be making mountains out of molehills. It represents stress, burdens, negative thinking and deep unhappiness. You will be feeling overwhelmed and unable to cope with or face situations, problems or just life in general and may have reached your breaking point. It is a Minor Arcana card of mental anguish, remorse, guilt, regret, joylessness and despair and you may wish you could go back in time and re-write the past when it appears. It can also signify feeling isolated and being the subject of gossip and it can represent nightmares and insomnia.",nine-of-swords,Nine of Swords
Ten of Swords,"In a general context, the Ten of Swords is not a good omen as it can represent backstabbing betrayal, badmouthing, bitching behind your back, bitterness and enemies. It is a Minor Arcana card of failure, ruin, collapse, severing ties, goodbyes and the final nail in the coffin of a relationship or situation. It can signify nervous breakdowns, chronic fatigue, exhaustion and being unable to cope. It can also represent hitting rock bottom, hitting a wall or being in a dead end situation. The Ten of Swords can also indicate someone playing the victim or martyr, being overly dramatic, attention seeking or exaggerating. It can also signify violence, attacks and curses.",ten-of-swords,Ten of Swords
Page of Swords,"In a general context, the Page of Swords represents delayed news, ideas, planning and inspiration. It can also signify being protective, guarded and vigilant. This Minor Arcana card may be telling you to be patient, to think before you speak and not to get drawn in unnecessary arguments or conflicts. It can also represent fairness, speaking out and fighting injustice. The Page of Swords can indicate mental agility, learning or getting an education, being quick-witted, curious and inquisitive and using your head. This card can signify being chatty, communicative, truthful and direct. However, it can also signify being blunt or abrasive or engaging in petty gossip. As a person, the Page of Swords represents a young person, child or person who is young at heart, who is chatty, lively, quick thinking, analytical, logical and cool and possesses a sharp mind. This person abhors injustice and is a deep thinker but at the same time can come across as blunt, insensitive or a bit of a loner sometimes. In the negative, they can also be a bit of a gossip or deceitful but they do not intentionally cause harm. They like to stick to the rules and may be an air sign such as Aquarius, Gemini or Libra.",page-of-swords,Page of Swords
Knight of Swords,"In a general context, the Knight of Swords is a change card, it tells you that a big change is coming, one you have been awaiting for quite some time and you better be ready to roll with it when it does. It’s time to jump in and seize the moment! This is a Minor Arcana card of being assertive, direct, honest, quick witted and intellectual. It signifies being dashing, daring, brave, courageous or rebellious. It also represents being talkative, ambitious, forward thinking, focused and single-minded when it appears in your Tarot spread. When this card appears in your Tarot reading, it can indicate that you go against the flow and have great leadership qualities and that you are a perfectionist and a risk taker. If representing a person, the Knight of Swords is an adult (20-35 years of age and usually male) who has a strong personality, is quick-witted, a fast talker, intelligent, daring and rebellious. He may be an air sign such as Aquarius, Gemini or Libra. The knight is assertive and rational but can be impatient and impulsive. He has a very direct manner and this can sometimes make him seems a little insensitive. However, he is also exciting and adventurous which draws people to him. Champions, heroes and warriors charging into battle are signified by this card and as such, it can represent a soldier or someone in the military.",knight-of-swords,Knight of Swords
Queen of Swords,"In a general context, the Queen of Swords can represent an older woman in your life who will step in when you are vulnerable and protect you or help you to overcome a problem. It represents being intelligent, sharp witted, witty, honest, truthful and candid. This Minor Arcana card signifies being realistic, discerning or skeptical and it can signify that you will receive constructive criticism from someone and you would do well to listen to it. It can also represent open-mindedness and self-reliance. However, this card can also indicate that you may be suppressing some pain or sadness from past events. As a person, the Queen of Swords  represents a mature female or feminine person who is chatty, quirky, forthright and supportive. She may be an air sign such as Aquarius, Gemini or Libra. She is a woman who may have known loss or suffering herself and has gained much inner strength and wisdom from her experiences. She is someone who will always defend those who cannot defend themselves. She has strong empathy and is a great person to have in your corner if you are vulnerable as she will defend you. However, she will not suffer fools gladly and if you are in the wrong, you can expect her to call you out on it without mincing her words! She can have quite a sharp tongue on her at times. She is strong, quick-witted, principled, fair, funny, sophisticated, independent and capable and will not be clingy or needy.",queen-of-swords,Queen of Swords
King of Swords,"In a general context, the King of Swords represents structure, routine, self-discipline, power authority. It is a Minor Arcana card of being methodical, using your head, mind over matter and the head over the heart. This card signifies logic and reason, integrity, ethics and morals. The King of Swords can represent legal matters, law enforcement, military, police and judges. As a person, the King of Swords is a mature male who is cool, self-disciplined, intelligent, honest and strong. He is rational, logical and a deep thinker. He may be an air sign such as Aquarius, Gemini or Libra. He does not like to publicly display his emotions and prefers to use his intellect over his emotions to deal with situations. He is a great conversationalist and fiercely loyal and protective of his loved ones. He does well in structured environments and needs to have a routine to operate at his best. He can be clinical and stern. In the extreme negative, he can be a bully or a tyrant and he can be cold or distant if someone is too irrational for his liking. But generally he is analytical and fair-minded. He takes his responsibilities seriously, is dependable and plays by the rules.",king-of-swords,King of Swords
Ace of Pentacles,"In a general context, the Ace of Pentacles represents new beginnings and prosperity. It is a very good card to get in a Tarot spread as it signifies starting something new which will be very positive for you. You should be feeling very optimistic when this card appears as it brings with it feelings of positivity, inspiration and new exciting energy. This Minor Arcana card also signifies abundance in all areas of life and security and stability. The Ace of Pentacles Tarot card can indicate that you will be ready to make your dreams a reality. The time is coming for you to manifest your goals, achieve your dreams and realize your potential. You will be motivated and ready for the challenge.",ace-of-pentacles,Ace of Pentacles
Two of Pentacles,"In a general context, the Two of Pentacles can indicate that you are trying to find or maintain the balance between various areas of your life. This Minor Arcana card represents the ups and downs of life and indicates that you are resourceful, adaptable and flexible enough to get through them. However, it can be a warning that trying to juggle too many things at once and not prioritizing what is important can lead to failure and exhaustion. Try to evaluate where you are putting your energy and cut back on what is not necessary in order to maintain a balanced and happy life. The Two of Pentacles can indicate that decisions need to be made and making these choices may be causing you stress. It can also signify partnership and the struggle to find the right balance between your needs and the needs of someone else.",two-of-pentacles,Two of Pentacles
Three of Pentacles,"In a general context, the Three of Pentacles is a positive card to get in a Tarot spread. It represents learning, studying and apprenticeship. It also signifies hard work, determination, dedication and commitment so whatever you are doing at the moment, you are likely to be giving it 100%. It also signifies building on success or foundations. You have worked hard to overcome your challenges and the effort you have put in should be paying off. This Minor Arcana card can also indicate that you may be collaborating with others to achieve your goals.",three-of-pentacles,Three of Pentacles
Four of Pentacles,"In a general context, the Four of Pentacles Tarot card can indicate that you are holding on to people, possessions, situations or past issues. It can be an indication that there are deep seated issues affecting you that you need to process and let go of. This Minor Arcana card can indicates that you may be trying very hard to cling onto the people or possessions that give you a sense of security. You may be holding onto things in an unhealthy, possessive, controlling or toxic way or someone may be holding onto you in such a manner.  It can indicate that you need to establish your boundaries or respect the boundaries of other people. The Four of Pentacles can also indicate a lack of openness, blocking or obstructing progress, keeping to yourself or a sense of isolation. It can represent wealth, greed, materialism and penny pinching.",four-of-pentacles,Four of Pentacles
Five of Pentacles,"In a general context, the Five of Pentacles is not a great card to get as it represents hardship, rejection or a negative change in circumstances. You may be feeling like the world is against you and nothing is going your way when it appears. It can signify bad luck, struggles or adversity. Homelessness, unemployment, alienation and poverty are all represented by this Minor Arcana card and it can signify illness, divorce, breakups or scandals causing turmoil in your life. If you are feeling left out the cold, firstly, remember that this situation is only temporary and then ask yourself if you are reaching out for any help or support that is available. There is help out there for you. It may be in the form of moral support from friends or family, financial assistance from social welfare, or even the kindness of strangers but whatever it is, take it. Nothing lasts forever and this hardship too shall pass.",five-of-pentacles,Five of Pentacles
Six of Pentacles,"In a general context, the Six of Pentacles Tarot card represents gifts, kindness and generosity. Someone in your life may be very generous towards you with gifts or money or simply generous with their time, knowledge or wisdom. Alternately, you may have so much wealth and prosperity that you are the one in a position to help others. This Minor Arcana card can indicate sharing, support, charity or donations. As such, if you are in a difficult situation at the moment, this card can indicate that there is help available and that someone will assist or support you if you reach out. You may be feeling a strong sense of community spirit or compelled to help those around you when it appears in your Tarot spread. It is also a card of power and control so you may find yourself in a position of authority or being well-respected by others when it appears in your Tarot reading. The Six of Pentacles is usually a positive card to get as it can signify equality and fairness and can also symbolize being well paid, being valued or being rewarded for hard work. If you are prospering when it appears, remember to share your good fortune with those around you!",six-of-pentacles,Six of Pentacles
Seven of Pentacles,"In a general context, the Seven of Pentacles indicates that you have been working very hard and it will soon start to pay off. This Minor Arcana card means that things are coming to fruition so you can expect results when it appears in your Tarot Spread. It is a very welcome card if you have been persevering with a situation or task and have felt like you’re getting nowhere, as it tells you success is just around the corner! Whatever you have been putting your energy, you will start to reap the rewards. It can also signify being at a crossroads in terms of which life direction to take or needing to take stock of things and make a decision. The Seven of Pentacles can represent manifestation of ideas, ambitions or goals so now is a great time to focus on what you want to achieve and make it happen. It is also a card of harvesting, cultivation, growing, planning, patience and finishing what you started.",seven-of-pentacles,Seven of Pentacles
Eight of Pentacles,"In a general context, the Eight of Pentacles Tarot card indicates a time of hard work, commitment, diligence and dedication. The effort you put in will not be in vain as your hard work will pay off and lead to results, rewards or the accomplishment of your goals. When this Minor Arcana card appears in your Tarot reading, it indicates that you are methodically working towards something you want. It may seem boring, mundane or even relentless at the moment but you are on the brink of achieving great success, so don’t give up. The skills you are learning at the moment will stand to you later in life and you will come away from this experience not only with the inner wisdom you have gained but with a sense of pride and self-confidence from achieving your ambitions.",eight-of-pentacles,Eight of Pentacles
Nine of Pentacles,"In a general context, the Nine of Pentacles is a great omen to get as it represents success, independence, confidence, freedom, security and stability. It is a Minor Arcana card of abundance, prosperity and wealth gained through hard work, self-discipline and control and self-reliance. It signifies that you have worked very hard to create the success and status you are experiencing and now is the time to enjoy it. So indulge yourself, pamper yourself and enjoy the luxury and contentment your accomplishments bring you. The Nine of Pentacles also signifies beauty, grace, elegance and sophistication so you may find yourself enjoying the finer things in life when it appears. This card also tells you that you have gained maturity and wisdom through your perseverance.  If representing a person, it usually represents a strong, confident, independent woman who is beautiful and sophisticated and has worked hard to get where she is.",nine-of-pentacles,Nine of Pentacles
Ten of Pentacles,"In a general context, the Ten of Pentacles represents solid foundations, security and happiness in all areas of your life. Like all Pentacle cards it is usually connected to financial or material issues so you can expect especially good things in those areas of your life when it appears. It is also a good card to get in relation to family as it represents family responsibilities, family values and support. You could find yourself tracing your ancestry or discovering your family tree when it appears. You may be feeling very close to your family at this time, as the Ten of Pentacles can signify domestic harmony. Or you may be looking forward to a family event, celebration or gathering. This Minor Arcana card can represent being conventional and embracing old school traditions. Life should be stable and settled when it appears in your Tarot reading.",ten-of-pentacles,Ten of Pentacles
Page of Pentacles,"In a general context, the Page of Pentacles is the bearer of good news in earthly matters such as money, business, education, career, property or health. It represents making a solid start or laying the foundation for future success. The message with this Minor Arcana card is to decide what you want and really go for it. Jump in and seize your opportunities while you can. It tells you that if you make the right decisions now and put the groundwork in you will achieve your long terms goals. You may find yourself thinking about your long term future when it appears. If representing a person, the Page of Pentacles represents a young person, child or person who is young at heart, who is grounded, loyal, responsible, dependable and ambitious and who has common sense and excellent future prospects. They may be an Earth sign such as Taurus, Virgo or Capricorn.",page-of-pentacles,Page of Pentacles
Knight of Pentacles,"In a general Tarot spread, the Knight of Pentacles represents common sense, responsibility, practicality, working hard for what you want and finishing what you start. This Minor Arcana card is a wish card that signifies achieving your wishes or dreams through perseverance and determination. It can also represent being environmentally conscientious and an animal lover. It can also signify defending and protecting your home, family or those close to you. As a person, the Knight of Pentacles represents an adult (usually 20-35 year of age and usually male) who is stable, reliable, loyal and patient. He is ambitious, hard-working, protective and honest. He can also be conservative and a bit stubborn. The Knight of Pentacles may have issues with showing emotions. Usually, this is because he may have been raised by a father figure who had difficulty showing affection (an Emperor or King of Pentacles type of father figure). The Knight shows he cares by working hard to provide for the people he loves much like the father or male role model in his life did. He may be an Earth sign such as Taurus, Virgo or Capricorn.",knight-of-pentacles,Knight of Pentacles
Queen of Pentacles,"In a general Tarot spread, the Queen of Pentacles represents high social status, prosperity, wealth, luxury, success and financial independence. This Minor Arcana card tells you to approach issues in a sensible, practical, no-nonsense manner and you will be successful. She tells you to set goals and work towards them steadily. As a person, the Queen of Pentacles represents a mature female or feminine person who is generous and usually wealthy or financially independent, has an affinity for the finer things in life and is good in business. She is a social butterfly with high social status and is pleasant, charming, loyal, socially poised, organized, down to earth and practical. She is a wonderful, nurturing mother and a good cook or hostess. People feel welcome in her home, secure in her company and able to confide in her. She may be an Earth sign such as Taurus, Virgo or Capricorn.",queen-of-pentacles,Queen of Pentacles
King of Pentacles,"In a general Tarot spread, the King of Pentacles represents trying to better oneself, hard work paying off, reaching goals, seeing things through to the end and being proud of your achievements. This Minor Arcana card can represent reaching high social status and being enterprising, resourceful and principled. As a person, the King of Pentacles represents a mature successful grounded man who is good in business, patient, stable, secure, loyal and a hard worker. He is a generous provider but is not careless or frivolous with his wealth and he doesn’t gamble or take silly risks. He is conservative and can be stubborn but he is also faithful and a protector. He is a great father in terms of providing stability and security but can come across as a bit blunt when dealing with emotional matters as he copes better with practical matters. He may be an Earth sign such as Taurus, Virgo or Capricorn.",king-of-pentacles,King of Pentacles
